* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A)  NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which Infineon disclaims to the maximum extent permitted by applicable law; and
* (B)  NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* LIMITATION OF LIABILITY:  IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR 
* ANY OTHER LEGAL THEORY, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.
* © 2020 Infineon Technologies AG. All rights reserved

Release:
	version 3.0

Tag	,	Weight	,	NetA, NetB	,	Device
Defect_Short_65	,	1	,	vdda_pulsed, xdut.xi7.xi72.net11	,	xdut.xi7.xi72.xi31.mptrans10
Defect_Short_66	,	1	,	vdda_pulsed, xdut.xi7.xi72.net11	,	xdut.xi7.xi72.xi35.mptrans10
Defect_Short_67	,	1	,	vdda_pulsed, xdut.xi7.xi147.net15	,	xdut.xi7.xi147.xi146.mntrans11
Defect_Short_68	,	1	,	vdda_pulsed, xdut.xi7.xi147.net15	,	xdut.xi7.xi147.xi49.mptrans10
Defect_Short_69	,	1	,	vdda_pulsed, xdut.xi7.xi147.net9	,	xdut.xi7.xi147.xi146.mntrans11
Defect_Short_70	,	1	,	vdda_pulsed, xdut.xi7.xi147.net9	,	xdut.xi7.xi147.xi33.mptrans10
Defect_Short_71	,	1	,	vdda_pulsed, xdut.xi7.xi147.net9	,	xdut.xi7.xi147.xi31.mptrans10
Defect_Short_72	,	1	,	vdda_pulsed, xdut.xi7.xi147.net9	,	xdut.xi7.xi147.xi34.mptrans10
Defect_Short_73	,	1	,	vdda_pulsed, xdut.xi7.xi147.net14	,	xdut.xi7.xi147.xi47.mptrans10
Defect_Short_74	,	1	,	vdda_pulsed, xdut.xi7.xi147.net14	,	xdut.xi7.xi147.xi48.mptrans10
Defect_Short_75	,	1	,	vdda_pulsed, xdut.xi7.xi147.net11	,	xdut.xi7.xi147.xi48.mptrans10
Defect_Short_76	,	1	,	vdda_pulsed, xdut.xi7.xi147.net11	,	xdut.xi7.xi147.xi33.mptrans10
Defect_Short_77	,	1	,	vdda_pulsed, xdut.xi7.xi147.net11	,	xdut.xi7.xi147.xi31.mptrans10
Defect_Short_78	,	1	,	vdda_pulsed, xdut.xi7.xi147.net11	,	xdut.xi7.xi147.xi35.mptrans10
Defect_Short_79	,	1	,	xdut.xi7.xi136.net39, xdut.xi7.xi136.net32	,	xdut.xi7.xi136.mntrans21
Defect_Short_80	,	1	,	xdut.xi72.net14, xdut.xi72.net11	,	xdut.xi72.xi48.mptrans10
Defect_Short_81	,	1	,	xdut.xi72.net14, xdut.xi72.net11	,	xdut.xi72.xi48.mntrans11
Defect_Short_82	,	1	,	clk, vdda_pulsed	,	xdut.xi63.mptrans38
Defect_Short_83	,	4	,	ref, xdut.xi74.net11	,	xdut.xi74.m4
Defect_Short_84	,	4	,	ref, xdut.xi74.net018	,	xdut.xi74.m4
Defect_Short_85	,	1	,	xdut.xi72.net9, xdut.xi72.net11	,	xdut.xi72.xi31.mptrans10
Defect_Short_86	,	1	,	xdut.xi72.net9, xdut.xi72.net11	,	xdut.xi72.xi33.mntrans11
Defect_Short_87	,	1	,	xdut.xi72.net9, xdut.xi72.net11	,	xdut.xi72.xi33.mptrans10
Defect_Short_88	,	1	,	xdut.xi72.net9, xdut.xi72.net11	,	xdut.xi72.xi31.mntrans11
Defect_Short_89	,	4	,	ref, xdut.xi75.net012	,	xdut.xi75.m5
Defect_Short_90	,	4	,	ref, xdut.xi75.net11	,	xdut.xi75.m5
Defect_Short_91	,	1	,	clk, xdut.net062	,	xdut.xi63.mptrans38
Defect_Short_92	,	1	,	xdut.xi72.net15, xdut.xi72.net9	,	xdut.xi72.xi146.mptrans10
Defect_Short_93	,	1	,	xdut.xi72.net15, xdut.xi72.net9	,	xdut.xi72.xi146.mntrans11
Defect_Short_94	,	1	,	xdut.xi7.net050, xdut.xi7.xi107.net27	,	xdut.xi7.xi107.mptrans16
Defect_Short_95	,	1	,	clk, xdut.xi63.net25	,	xdut.xi63.mntrans36
Defect_Short_96	,	1	,	xdut.xi7.net0105, xdut.xi7.xi137.net39	,	xdut.xi7.xi137.mptrans25
Defect_Short_97	,	1	,	xdut.xi7.net0105, xdut.xi7.xi137.net39	,	xdut.xi7.xi137.mntrans22
Defect_Short_98	,	1	,	overvoltage, vdda_pulsed	,	xdut.xi65.mptrans10
Defect_Short_99	,	1	,	xdut.xi136.net39, xdut.xi136.net32	,	xdut.xi136.mntrans21
Defect_Short_100	,	1	,	xdut.xi7.net0105, xdut.xi7.xi147.net15	,	xdut.xi7.xi147.xi49.mptrans10
Defect_Short_101	,	1	,	xdut.xi7.net0105, xdut.xi7.xi147.net15	,	xdut.xi7.xi147.xi49.mntrans11
Defect_Short_102	,	1	,	xdut.xi7.net0105, xdut.xi7.xi147.net14	,	xdut.xi7.xi147.xi47.mptrans10
Defect_Short_103	,	1	,	xdut.xi7.net0105, xdut.xi7.xi147.net14	,	xdut.xi7.xi147.xi47.mntrans11
Defect_Short_104	,	1	,	xdut.xi7.net068, xdut.xi7.xi136.net39	,	xdut.xi7.xi136.mptrans25
Defect_Short_105	,	1	,	xdut.xi7.net068, xdut.xi7.xi136.net39	,	xdut.xi7.xi136.mntrans22
Defect_Short_106	,	1	,	overvoltage, xdut.net045	,	xdut.xi65.mptrans10
Defect_Short_107	,	1	,	overvoltage, xdut.net045	,	xdut.xi65.mntrans11
Defect_Short_108	,	1	,	undervoltage, vdda_pulsed	,	xdut.xi62.mptrans23
Defect_Short_109	,	1	,	undervoltage, vdda_pulsed	,	xdut.xi64.mptrans10
Defect_Short_110	,	1	,	xdut.xi7.net068, xdut.xi7.xi72.net15	,	xdut.xi7.xi72.xi49.mptrans10
Defect_Short_111	,	1	,	xdut.xi7.net068, xdut.xi7.xi72.net15	,	xdut.xi7.xi72.xi49.mntrans11
Defect_Short_112	,	1	,	xdut.xi7.net068, xdut.xi7.xi72.net14	,	xdut.xi7.xi72.xi47.mptrans10
Defect_Short_113	,	1	,	xdut.xi7.net068, xdut.xi7.xi72.net14	,	xdut.xi7.xi72.xi47.mntrans11
Defect_Short_114	,	1	,	xdut.xi7.net044, xdut.xi7.xi119.net031	,	xdut.xi7.xi119.mp10
Defect_Short_115	,	1	,	xdut.xi7.net044, xdut.xi7.xi119.net031	,	xdut.xi7.xi119.mn10
Defect_Short_116	,	1	,	xdut.xi137.net39, xdut.xi137.net32	,	xdut.xi137.mntrans21
Defect_Short_117	,	1	,	undervoltage, xdut.net044	,	xdut.xi64.mptrans10
Defect_Short_118	,	1	,	undervoltage, xdut.net044	,	xdut.xi64.mntrans11
Defect_Short_119	,	1	,	xdut.xi7.net044, xdut.xi7.xi137.net39	,	xdut.xi7.xi137.mptrans24
Defect_Short_120	,	1	,	xdut.xi7.net044, xdut.xi7.xi137.net39	,	xdut.xi7.xi137.mntrans21
Defect_Short_121	,	1	,	xdut.xi7.net044, xdut.xi7.xi137.net32	,	xdut.xi7.xi137.mntrans21
Defect_Short_122	,	1	,	xdut.xi7.net044, xdut.xi7.xi106.net27	,	xdut.xi7.xi106.mptrans16
Defect_Short_123	,	1	,	overvoltage, xdut.xi62.net26	,	xdut.xi62.mntrans27
Defect_Short_124	,	1	,	overvoltage, xdut.xi62.net26	,	xdut.xi62.mptrans24
Defect_Short_125	,	1	,	overvoltage, xdut.xi62.net41	,	xdut.xi62.mptrans24
Defect_Short_126	,	1	,	xdut.xi7.net057, xdut.xi7.net050	,	xdut.xi7.xi107.mntrans18
Defect_Short_127	,	1	,	xdut.xi7.net057, xdut.xi7.xi119.net031	,	xdut.xi7.xi119.mptrans15
Defect_Short_128	,	1	,	xdut.xi7.net057, xdut.xi7.xi119.net031	,	xdut.xi7.xi119.mntrans13
Defect_Short_129	,	1	,	xdut.xi7.net057, xdut.xi7.xi107.net27	,	xdut.xi7.xi107.mptrans17
Defect_Short_130	,	1	,	undervoltage, xdut.xi62.net26	,	xdut.xi62.mntrans26
Defect_Short_131	,	1	,	undervoltage, xdut.xi62.net41	,	xdut.xi62.mptrans23
Defect_Short_132	,	1	,	xdut.xi32.net18, xdut.xi32.xi1.net25	,	xdut.xi32.xi1.mntrans35
Defect_Short_133	,	1	,	vss!, undervoltage	,	xdut.xi62.mntrans26
Defect_Short_134	,	1	,	vss!, undervoltage	,	xdut.xi64.mntrans11
Defect_Short_135	,	1	,	xdut.xi32.net18, xdut.xi32.xi105.net25	,	xdut.xi32.xi105.mntrans35
Defect_Short_136	,	1	,	vss!, overvoltage	,	xdut.xi62.mntrans27
Defect_Short_137	,	1	,	vss!, overvoltage	,	xdut.xi65.mntrans11
Defect_Short_138	,	1	,	xdut.xi7.net014, xdut.xi7.net057	,	xdut.xi7.xi107.mntrans19
Defect_Short_139	,	1	,	xdut.xi7.net014, xdut.xi7.net057	,	xdut.xi7.xi107.mptrans17
Defect_Short_140	,	1	,	vss!, clk	,	xdut.xi63.mntrans36
Defect_Short_141	,	1	,	xdut.xi7.net014, xdut.xi7.xi118.net031	,	xdut.xi7.xi118.mp10
Defect_Short_142	,	1	,	xdut.xi7.net014, xdut.xi7.xi118.net031	,	xdut.xi7.xi118.mn10
Defect_Short_143	,	1	,	xdut.net23, xdut.net12	,	xdut.xi32.xi8.mptrans38
Defect_Short_144	,	1	,	xdut.net23, xdut.net12	,	xdut.xi32.xi7.mptrans38
Defect_Short_145	,	1	,	vss!, disable	,	xdut.xi5.mntrans27
Defect_Short_146	,	1	,	xdut.xi7.net014, xdut.xi7.xi136.net39	,	xdut.xi7.xi136.mptrans24
Defect_Short_147	,	1	,	xdut.xi7.net014, xdut.xi7.xi136.net39	,	xdut.xi7.xi136.mntrans21
Defect_Short_148	,	1	,	xdut.xi7.net014, xdut.xi7.xi136.net32	,	xdut.xi7.xi136.mntrans21
Defect_Short_149	,	1	,	vss!, vdda_pulsed	,	xdut.xi9.m9
Defect_Short_150	,	150	,	vout, vdda_pulsed	,	xdut.xi9.m0
Defect_Short_151	,	1	,	vss!, ibias	,	xdut.xi7.m49
Defect_Short_152	,	1	,	xdut.xi7.net014, xdut.xi7.xi107.net27	,	xdut.xi7.xi107.mptrans17
Defect_Short_153	,	1	,	vss!, xdut.vth_l	,	xdut.r11
Defect_Short_154	,	1	,	vout, xdut.feedback	,	xdut.xi9.r2
Defect_Short_155	,	1	,	vss!, xdut.feedback	,	xdut.xi9.r3
Defect_Short_156	,	1	,	vss!, xdut.amp_out	,	xdut.xi7.m2
Defect_Short_157	,	1	,	vss!, xdut.amp_out	,	xdut.xi7.m47
Defect_Short_158	,	1	,	xdut.xi32.net17, xdut.xi32.xi3.net25	,	xdut.xi32.xi3.mntrans35
Defect_Short_159	,	1	,	xdut.net12, xdut.xi32.net14	,	xdut.xi32.xi7.mptrans37
Defect_Short_160	,	1	,	xdut.net12, xdut.xi32.net14	,	xdut.xi32.xi7.mntrans35
Defect_Short_161	,	1	,	xdut.xi32.net17, xdut.xi32.xi2.net25	,	xdut.xi32.xi2.mntrans35
Defect_Short_162	,	1	,	vss!, xdut.disable	,	xdut.m35
Defect_Short_163	,	1	,	vss!, xdut.disable	,	xdut.xi9.xi64.mntrans11
Defect_Short_164	,	1	,	vss!, xdut.disable	,	xdut.xi9.m7
Defect_Short_165	,	1	,	vss!, xdut.disable	,	xdut.xi8.m4
Defect_Short_166	,	1	,	vss!, xdut.disable	,	xdut.xi8.m0
Defect_Short_167	,	1	,	vss!, xdut.disable	,	xdut.xi6.mntrans11
Defect_Short_168	,	1	,	vss!, xdut.disable	,	xdut.xi5.mntrans25
Defect_Short_169	,	1	,	vss!, xdut.vref	,	xdut.m35
Defect_Short_170	,	1	,	vss!, xdut.net16	,	xdut.xi68.xi8.mntrans36
Defect_Short_171	,	1	,	xdut.net12, xdut.xi32.net17	,	xdut.xi32.xi3.mptrans37
Defect_Short_172	,	1	,	xdut.net12, xdut.xi32.net17	,	xdut.xi32.xi3.mntrans35
Defect_Short_173	,	1	,	vss!, xdut.enable	,	xdut.xi137.mntrans20
Defect_Short_174	,	1	,	vss!, xdut.enable	,	xdut.xi7.xi94.mntrans13
Defect_Short_175	,	1	,	vss!, xdut.enable	,	xdut.xi7.xi92.mntrans11
Defect_Short_176	,	1	,	vss!, xdut.enable	,	xdut.xi6.mntrans11
Defect_Short_177	,	1	,	vss!, xdut.enable	,	xdut.xi136.mntrans20
Defect_Short_178	,	1	,	xdut.xi7.net059, xdut.xi7.net044	,	xdut.xi7.xi106.mntrans18
Defect_Short_179	,	1	,	vss!, xdut.net023	,	xdut.xi137.mntrans22
Defect_Short_180	,	1	,	vss!, xdut.net023	,	xdut.xi73.xi49.mntrans11
Defect_Short_181	,	1	,	vss!, xdut.net023	,	xdut.xi73.xi47.mntrans11
Defect_Short_182	,	1	,	vss!, xdut.net11	,	xdut.xi68.xi7.mntrans36
Defect_Short_183	,	1	,	xdut.net12, xdut.xi32.xi8.net25	,	xdut.xi32.xi8.mntrans36
Defect_Short_184	,	1	,	xdut.net12, xdut.xi32.xi7.net25	,	xdut.xi32.xi7.mntrans35
Defect_Short_185	,	1	,	vss!, xdut.net028	,	xdut.xi136.mntrans22
Defect_Short_186	,	1	,	vss!, xdut.net028	,	xdut.xi72.xi49.mntrans11
Defect_Short_187	,	1	,	vss!, xdut.net028	,	xdut.xi72.xi47.mntrans11
Defect_Short_188	,	1	,	vss!, xdut.s1	,	xdut.xi72.xi34.mntrans11
Defect_Short_189	,	1	,	vss!, xdut.s1	,	xdut.xi72.xi27.mntrans11
Defect_Short_190	,	1	,	vss!, xdut.s1	,	xdut.xi72.xi30.mntrans11
Defect_Short_191	,	1	,	xdut.xi7.net059, xdut.xi7.xi118.net031	,	xdut.xi7.xi118.mptrans15
Defect_Short_192	,	1	,	xdut.xi7.net059, xdut.xi7.xi118.net031	,	xdut.xi7.xi118.mntrans13
Defect_Short_193	,	1	,	vss!, xdut.s1_n	,	xdut.xi72.xi35.mntrans11
Defect_Short_194	,	1	,	vss!, xdut.s1_n	,	xdut.xi72.xi27.mntrans11
Defect_Short_195	,	1	,	vss!, xdut.s1_n	,	xdut.xi72.xi30.mntrans11
Defect_Short_196	,	1	,	vss!, xdut.s0	,	xdut.xi73.xi34.mntrans11
Defect_Short_197	,	1	,	vss!, xdut.s0	,	xdut.xi73.xi27.mntrans11
Defect_Short_198	,	1	,	vss!, xdut.s0	,	xdut.xi73.xi30.mntrans11
Defect_Short_199	,	1	,	xdut.net12, xdut.xi32.xi3.net25	,	xdut.xi32.xi3.mntrans35
Defect_Short_200	,	1	,	vss!, xdut.s0_n	,	xdut.xi73.xi35.mntrans11
Defect_Short_201	,	1	,	vss!, xdut.s0_n	,	xdut.xi73.xi27.mntrans11
Defect_Short_202	,	1	,	vss!, xdut.s0_n	,	xdut.xi73.xi30.mntrans11
Defect_Short_203	,	1	,	vss!, xdut.net044	,	xdut.xi74.xi5.mntrans11
Defect_Short_204	,	1	,	vss!, xdut.net044	,	xdut.xi64.mntrans11
Defect_Short_205	,	1	,	vss!, xdut.net045	,	xdut.xi75.xi5.mntrans11
Defect_Short_206	,	1	,	vss!, xdut.net045	,	xdut.xi65.mntrans11
Defect_Short_207	,	1	,	vss!, xdut.err	,	xdut.xi62.mntrans25
Defect_Short_208	,	1	,	vss!, xdut.err	,	xdut.xi5.mntrans26
Defect_Short_209	,	1	,	xdut.xi7.net059, xdut.xi7.xi106.net27	,	xdut.xi7.xi106.mptrans17
Defect_Short_210	,	1	,	vss!, xdut.net062	,	xdut.xi41.mntrans13
Defect_Short_211	,	1	,	vss!, xdut.net062	,	xdut.xi40.mntrans11
Defect_Short_212	,	1	,	vss!, xdut.net14	,	xdut.xi41.mntrans12
Defect_Short_213	,	1	,	vss!, xdut.net14	,	xdut.xi68.xi105.mntrans36
Defect_Short_214	,	1	,	vss!, xdut.net14	,	xdut.xi68.xi3.mntrans36
Defect_Short_215	,	1	,	vss!, xdut.net14	,	xdut.xi68.xi4.mntrans36
Defect_Short_216	,	2	,	vout, xdut.gate	,	xdut.xi9.m1<12>
Defect_Short_217	,	2	,	vout, xdut.gate	,	xdut.xi9.m1<1>
Defect_Short_218	,	2	,	vout, xdut.gate	,	xdut.xi9.m1<2>
Defect_Short_219	,	2	,	vout, xdut.gate	,	xdut.xi9.m1<3>
Defect_Short_220	,	2	,	vout, xdut.gate	,	xdut.xi9.m1<4>
Defect_Short_221	,	2	,	vout, xdut.gate	,	xdut.xi9.m1<5>
Defect_Short_222	,	2	,	vout, xdut.gate	,	xdut.xi9.m1<6>
Defect_Short_223	,	2	,	vout, xdut.gate	,	xdut.xi9.m1<7>
Defect_Short_224	,	2	,	vout, xdut.gate	,	xdut.xi9.m1<8>
Defect_Short_225	,	2	,	vout, xdut.gate	,	xdut.xi9.m1<9>
Defect_Short_226	,	2	,	vout, xdut.gate	,	xdut.xi9.m1<10>
Defect_Short_227	,	2	,	vout, xdut.gate	,	xdut.xi9.m1<11>
Defect_Short_228	,	1	,	xdut.xi32.net12, xdut.xi32.net18	,	xdut.xi32.xi1.mptrans37
Defect_Short_229	,	1	,	xdut.xi32.net12, xdut.xi32.net18	,	xdut.xi32.xi1.mntrans35
Defect_Short_230	,	1	,	vss!, xdut.net13	,	xdut.xi40.mntrans11
Defect_Short_231	,	1	,	vss!, xdut.net13	,	xdut.xi32.xi105.mntrans36
Defect_Short_232	,	1	,	vss!, xdut.net13	,	xdut.xi32.xi3.mntrans36
Defect_Short_233	,	1	,	vss!, xdut.net13	,	xdut.xi32.xi4.mntrans36
Defect_Short_234	,	1	,	vss!, xdut.net23	,	xdut.xi32.xi7.mntrans36
Defect_Short_235	,	1	,	vss!, xdut.net12	,	xdut.xi32.xi8.mntrans36
Defect_Short_236	,	1	,	vss!, xdut.net12	,	xdut.xi7.xi106.mntrans19
Defect_Short_237	,	1	,	vss!, xdut.net12	,	xdut.xi7.xi143.mntrans11
Defect_Short_238	,	1	,	vss!, xdut.xi137.net39	,	xdut.xi137.mntrans22
Defect_Short_239	,	1	,	xdut.xi32.net12, xdut.xi32.xi5.net25	,	xdut.xi32.xi5.mntrans35
Defect_Short_240	,	1	,	vss!, xdut.xi137.net32	,	xdut.xi137.mntrans20
Defect_Short_241	,	1	,	xdut.net23, xdut.xi32.net13	,	xdut.xi32.xi8.mptrans37
Defect_Short_242	,	1	,	xdut.net23, xdut.xi32.net13	,	xdut.xi32.xi8.mntrans35
Defect_Short_243	,	1	,	vss!, xdut.xi136.net39	,	xdut.xi136.mntrans22
Defect_Short_244	,	1	,	vss!, xdut.xi136.net32	,	xdut.xi136.mntrans20
Defect_Short_245	,	1	,	xdut.xi32.net12, xdut.xi32.xi2.net25	,	xdut.xi32.xi2.mntrans36
Defect_Short_246	,	1	,	vss!, xdut.xi72.net15	,	xdut.xi72.xi146.mptrans10
Defect_Short_247	,	1	,	vss!, xdut.xi72.net15	,	xdut.xi72.xi49.mntrans11
Defect_Short_248	,	1	,	xdut.xi32.net12, xdut.xi32.xi1.net25	,	xdut.xi32.xi1.mntrans35
Defect_Short_249	,	1	,	vss!, xdut.xi72.net9	,	xdut.xi72.xi146.mptrans10
Defect_Short_250	,	1	,	vss!, xdut.xi72.net9	,	xdut.xi72.xi33.mntrans11
