* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A) NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which  Infineon disclaims to the maximum extent permitted by applicable law; and
* (B) NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* (C) LIMITATION OF LIABILITY: IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR ANY OTHER LEGAL THEORY, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.
* © 2020 Infineon Technologies AG. All rights reserved.

* Note:
* The CMOS transistor models used, were freely available models downloaded from: http://ptm.asu.edu.
* The bipolar transistor models are from: The Development of Bipolar Log-Domain Filters in a Standard CMOS Process, G. D. Duerden, G. W. Roberts, M. J. Deen, 2001

* Release:
* 	version 2.0

Tag,Net1,Net2,path,device,terminalA,terminalB
TAG	,	Net1	,	Net2	,	Path	,	Device	,	TerminalA	,	TerminalB
bridge_22	,	VSS!	,	net033	,	DUT.I42.I14.I34.ntrans11	,	nreg	,	s	,	g
bridge_23	,	VSS!	,	net033	,	DUT.I66.ntrans11	,	nreg	,	s	,	g
bridge_24	,	VSS!	,	net033	,	DUT.I73.I0.ntrans11	,	nreg	,	s	,	g
bridge_25	,	VSS!	,	net033	,	DUT.I73.M3	,	nreg	,	s	,	g
bridge_26	,	VSS!	,	net033	,	DUT.I73.M2	,	nreg	,	s	,	g
bridge_27	,	VSS!	,	net033	,	DUT.I74.I0.ntrans11	,	nreg	,	s	,	g
bridge_28	,	VSS!	,	net033	,	DUT.I74.M3	,	nreg	,	s	,	g
bridge_29	,	VSS!	,	net033	,	DUT.I74.M2	,	nreg	,	s	,	g
bridge_30	,	VSS!	,	net033	,	DUT.M1	,	nreg	,	s	,	g
bridge_31	,	VSS!	,	net038	,	DUT.I78.ntrans11	,	nreg	,	s	,	g
bridge_32	,	VSS!	,	net3	,	DUT.I17.M82	,	nreg	,	s	,	g
bridge_33	,	VSS!	,	ldoclk	,	DUT.I59.ntrans11	,	nreg	,	s	,	d
bridge_34	,	VSS!	,	net029	,	DUT.I57.I9.ntrans27	,	nreg	,	s	,	g
bridge_35	,	VSS!	,	net030	,	DUT.I57.I6.ntrans27	,	nreg	,	s	,	g
bridge_36	,	VSS!	,	net031	,	DUT.I57.I171.ntrans27	,	nreg	,	s	,	g
bridge_37	,	VSS!	,	net032	,	DUT.I57.I171.ntrans26	,	nreg	,	s	,	g
bridge_38	,	VSS!	,	net032	,	DUT.I57.I3.ntrans11	,	nreg	,	s	,	g
bridge_39	,	VSS!	,	lock	,	DUT.I32.I22.ntrans11	,	nreg	,	s	,	g
bridge_40	,	VSS!	,	lock	,	DUT.I42.I116.ntrans22	,	nreg	,	s	,	d
bridge_41	,	VSS!	,	sysclk	,	DUT.I61.ntrans11	,	nreg	,	s	,	d
bridge_42	,	VSS!	,	net015	,	DUT.I10.I22.ntrans27	,	nreg	,	s	,	g
bridge_43	,	VSS!	,	net09	,	DUT.I10.I22.ntrans26	,	nreg	,	s	,	g
bridge_44	,	VSS!	,	net09	,	DUT.I10.I23.ntrans11	,	nreg	,	s	,	g
bridge_45	,	VSS!	,	DUT.net082	,	DUT.I10.I150.M82	,	nreg	,	s	,	g
bridge_46	,	VSS!	,	DUT.net082	,	DUT.I72.ntrans11	,	nreg	,	s	,	d
bridge_47	,	VSS!	,	DUT.divout	,	DUT.I10.I18.ntrans22	,	nreg	,	s	,	d
bridge_48	,	VSS!	,	DUT.divout	,	DUT.I19.M82	,	nreg	,	s	,	g
bridge_49	,	VSS!	,	DUT.oscout	,	DUT.I12.M82	,	nreg	,	s	,	g
bridge_50	,	VSS!	,	DUT.oscout	,	DUT.I0.I198.ntrans22	,	nreg	,	s	,	d
bridge_51	,	VSS!	,	DUT.net06	,	DUT.I12.M90	,	preg	,	d	,	g
bridge_52	,	VSS!	,	DUT.net06	,	DUT.I52.ntrans11	,	nreg	,	s	,	g
bridge_53	,	VSS!	,	DUT.oscoutb	,	DUT.I67.M82	,	nreg	,	s	,	g
bridge_54	,	VSS!	,	DUT.oscoutb	,	DUT.I0.I193.ntrans22	,	nreg	,	s	,	d
bridge_55	,	VSS!	,	DUT.net057	,	DUT.I67.M90	,	preg	,	d	,	g
bridge_56	,	VSS!	,	DUT.net057	,	DUT.I68.ntrans11	,	nreg	,	s	,	g
bridge_57	,	VSS!	,	DUT.net020	,	DUT.I17.M90	,	preg	,	d	,	g
bridge_58	,	VSS!	,	DUT.net020	,	DUT.I55.ntrans11	,	nreg	,	s	,	g
bridge_59	,	VSS!	,	DUT.net021	,	DUT.I19.M90	,	preg	,	d	,	g
bridge_60	,	VSS!	,	DUT.net021	,	DUT.I45.ntrans11	,	nreg	,	s	,	g
bridge_61	,	VSS!	,	DUT.div	,	DUT.I14.I0.M132	,	nreg	,	s	,	g
bridge_62	,	VSS!	,	DUT.div	,	DUT.I14.I0.M128	,	nreg	,	s	,	g
bridge_63	,	VSS!	,	DUT.div	,	DUT.I14.I0.M120	,	nreg	,	s	,	g
bridge_64	,	VSS!	,	DUT.div	,	DUT.I42.I7.ntrans11	,	nreg	,	s	,	g
bridge_65	,	VSS!	,	DUT.div	,	DUT.I47.ntrans11	,	nreg	,	s	,	d
bridge_66	,	VSS!	,	DUT.dn	,	DUT.I14.I26.ntrans11	,	nreg	,	s	,	d
bridge_67	,	VSS!	,	DUT.dn	,	DUT.I32.I14.ntrans11	,	nreg	,	s	,	g
bridge_68	,	VSS!	,	DUT.dn	,	DUT.I42.I1.ntrans11	,	nreg	,	s	,	g
bridge_69	,	VSS!	,	DUT.ref	,	DUT.I14.I138.M132	,	nreg	,	s	,	g
bridge_70	,	VSS!	,	DUT.ref	,	DUT.I14.I138.M128	,	nreg	,	s	,	g
bridge_71	,	VSS!	,	DUT.ref	,	DUT.I14.I138.M120	,	nreg	,	s	,	g
bridge_72	,	VSS!	,	DUT.ref	,	DUT.I42.I4.ntrans11	,	nreg	,	s	,	g
bridge_73	,	VSS!	,	DUT.ref	,	DUT.I46.ntrans11	,	nreg	,	s	,	d
bridge_74	,	VSS!	,	DUT.up	,	DUT.I14.I21.ntrans11	,	nreg	,	s	,	d
bridge_75	,	VSS!	,	DUT.up	,	DUT.I32.I13.ntrans11	,	nreg	,	s	,	g
bridge_76	,	VSS!	,	DUT.up	,	DUT.I42.I15.ntrans11	,	nreg	,	s	,	g
bridge_77	,	VSS!	,	DUT.net038	,	DUT.M1	,	nreg	,	s	,	d
bridge_78	,	VSS!	,	DUT.net059	,	DUT.R6	,	resistor	,	2	,	1
bridge_79	,	VSS!	,	DUT.net056	,	DUT.I66.ntrans11	,	nreg	,	s	,	d
bridge_80	,	VSS!	,	DUT.filtout	,	DUT.I32.M8	,	preg	,	d	,	g
bridge_81	,	VSS!	,	DUT.filtout	,	DUT.I32.M18	,	nreg	,	s	,	d
bridge_82	,	VSS!	,	DUT.filtout	,	DUT.C0	,	capacitor	,	2	,	1
bridge_83	,	VSS!	,	DUT.net014	,	DUT.C2	,	capacitor	,	2	,	1
bridge_84	,	VSS!	,	DUT.net050	,	DUT.I70.M132	,	nreg	,	s	,	g
bridge_85	,	VSS!	,	DUT.net050	,	DUT.I70.M128	,	nreg	,	s	,	g
bridge_86	,	VSS!	,	DUT.net050	,	DUT.I70.M120	,	nreg	,	s	,	g
bridge_87	,	VSS!	,	DUT.net050	,	DUT.I69.ntrans11	,	nreg	,	s	,	d
bridge_88	,	VSS!	,	DUT.net049	,	DUT.I70.M45	,	nreg	,	s	,	g
bridge_89	,	VSS!	,	DUT.net049	,	DUT.I70.M54	,	nreg	,	s	,	g
bridge_90	,	VSS!	,	DUT.net083	,	DUT.I70.M54	,	nreg	,	s	,	d
bridge_91	,	VSS!	,	DUT.net083	,	DUT.I71.ntrans11	,	nreg	,	s	,	g
bridge_92	,	VSS!	,	DUT.net084	,	DUT.I57.I150.M82	,	nreg	,	s	,	g
bridge_93	,	VSS!	,	DUT.net084	,	DUT.I75.ntrans25	,	nreg	,	s	,	d
bridge_94	,	VSS!	,	DUT.net069	,	DUT.I57.I18.ntrans22	,	nreg	,	s	,	d
bridge_95	,	VSS!	,	DUT.net069	,	DUT.I74.M132	,	nreg	,	s	,	g
bridge_96	,	VSS!	,	DUT.net069	,	DUT.I74.M128	,	nreg	,	s	,	g
bridge_97	,	VSS!	,	DUT.net069	,	DUT.I74.M120	,	nreg	,	s	,	g
bridge_98	,	VSS!	,	DUT.net026	,	DUT.I51.I150.M82	,	nreg	,	s	,	g
bridge_99	,	VSS!	,	DUT.net026	,	DUT.I53.ntrans11	,	nreg	,	s	,	d
bridge_100	,	VSS!	,	DUT.net086	,	DUT.I51.I18.ntrans22	,	nreg	,	s	,	d
bridge_101	,	VSS!	,	DUT.net086	,	DUT.I73.M132	,	nreg	,	s	,	g
bridge_102	,	VSS!	,	DUT.net086	,	DUT.I73.M128	,	nreg	,	s	,	g
bridge_103	,	VSS!	,	DUT.net086	,	DUT.I73.M120	,	nreg	,	s	,	g
bridge_104	,	VSS!	,	DUT.net058	,	DUT.I72.ntrans11	,	nreg	,	s	,	g
bridge_105	,	VSS!	,	DUT.net058	,	DUT.I71.ntrans11	,	nreg	,	s	,	d
bridge_106	,	VSS!	,	DUT.net077	,	DUT.I69.ntrans11	,	nreg	,	s	,	g
bridge_107	,	VSS!	,	DUT.net077	,	DUT.I68.ntrans11	,	nreg	,	s	,	d
bridge_108	,	VSS!	,	DUT.net075	,	DUT.I61.ntrans11	,	nreg	,	s	,	g
bridge_109	,	VSS!	,	DUT.net075	,	DUT.I62.ntrans11	,	nreg	,	s	,	d
bridge_110	,	VSS!	,	DUT.net028	,	DUT.I59.ntrans11	,	nreg	,	s	,	g
bridge_111	,	VSS!	,	DUT.net028	,	DUT.I60.ntrans11	,	nreg	,	s	,	d
bridge_112	,	VSS!	,	DUT.net070	,	DUT.I54.ntrans11	,	nreg	,	s	,	g
bridge_113	,	VSS!	,	DUT.net070	,	DUT.I56.ntrans11	,	nreg	,	s	,	d
bridge_114	,	VSS!	,	DUT.net070	,	DUT.I77.ntrans20	,	nreg	,	s	,	g
bridge_115	,	VSS!	,	DUT.net090	,	DUT.I53.ntrans11	,	nreg	,	s	,	g
bridge_116	,	VSS!	,	DUT.net090	,	DUT.I79.ntrans11	,	nreg	,	s	,	g
bridge_117	,	VSS!	,	DUT.net090	,	DUT.I52.ntrans11	,	nreg	,	s	,	d
bridge_118	,	VSS!	,	DUT.net090	,	DUT.I76.ntrans20	,	nreg	,	s	,	g
bridge_119	,	VSS!	,	DUT.net033	,	DUT.I47.ntrans11	,	nreg	,	s	,	g
bridge_120	,	VSS!	,	DUT.net033	,	DUT.I45.ntrans11	,	nreg	,	s	,	d
bridge_121	,	VSS!	,	DUT.net032	,	DUT.I46.ntrans11	,	nreg	,	s	,	g
bridge_122	,	VSS!	,	DUT.net032	,	DUT.I55.ntrans11	,	nreg	,	s	,	d
bridge_123	,	VSS!	,	DUT.net098	,	DUT.I79.ntrans11	,	nreg	,	s	,	d
bridge_124	,	VSS!	,	DUT.net098	,	DUT.I62.ntrans11	,	nreg	,	s	,	g
bridge_125	,	VSS!	,	DUT.net066	,	DUT.I78.ntrans11	,	nreg	,	s	,	d
bridge_126	,	VSS!	,	DUT.net029	,	DUT.I60.ntrans11	,	nreg	,	s	,	g
bridge_127	,	VSS!	,	DUT.net029	,	DUT.I74.M3	,	nreg	,	s	,	d
bridge_128	,	VSS!	,	DUT.net029	,	DUT.I74.M54	,	nreg	,	s	,	d
bridge_129	,	VSS!	,	DUT.net037	,	DUT.I56.ntrans11	,	nreg	,	s	,	g
bridge_130	,	VSS!	,	DUT.net037	,	DUT.I73.M3	,	nreg	,	s	,	d
bridge_131	,	VSS!	,	DUT.net037	,	DUT.I73.M54	,	nreg	,	s	,	d
bridge_132	,	VSS!	,	DUT.net012	,	DUT.I73.M45	,	nreg	,	s	,	g
bridge_133	,	VSS!	,	DUT.net012	,	DUT.I73.M54	,	nreg	,	s	,	g
bridge_134	,	VSS!	,	DUT.net025	,	DUT.I74.M45	,	nreg	,	s	,	g
bridge_135	,	VSS!	,	DUT.net025	,	DUT.I74.M54	,	nreg	,	s	,	g
bridge_136	,	VSS!	,	DUT.net081	,	DUT.I77.ntrans22	,	nreg	,	s	,	d
bridge_137	,	VSS!	,	DUT.net081	,	DUT.I75.ntrans27	,	nreg	,	s	,	g
bridge_138	,	VSS!	,	DUT.net089	,	DUT.I76.ntrans22	,	nreg	,	s	,	d
bridge_139	,	VSS!	,	DUT.net089	,	DUT.I75.ntrans26	,	nreg	,	s	,	g
bridge_140	,	VSS!	,	DUT.I10.net038	,	DUT.I10.I19.ntrans11	,	nreg	,	s	,	d
bridge_141	,	VSS!	,	DUT.I10.net06	,	DUT.I10.I18.ntrans20	,	nreg	,	s	,	g
bridge_142	,	VSS!	,	DUT.I10.net06	,	DUT.I10.I163.I153.ntrans20	,	nreg	,	s	,	g
bridge_143	,	VSS!	,	DUT.I10.net06	,	DUT.I10.I163.I140.M54	,	nreg	,	s	,	d
bridge_144	,	VSS!	,	DUT.I10.net037	,	DUT.I10.I17.ntrans20	,	nreg	,	s	,	g
bridge_145	,	VSS!	,	DUT.I10.net037	,	DUT.I10.I150.M90	,	preg	,	d	,	g
bridge_146	,	VSS!	,	DUT.I10.net039	,	DUT.I10.I17.ntrans22	,	nreg	,	s	,	d
bridge_147	,	VSS!	,	DUT.I10.net039	,	DUT.I10.I164.I146.ntrans11	,	nreg	,	s	,	g
bridge_148	,	VSS!	,	DUT.I10.net039	,	DUT.I10.I164.I140.M132	,	nreg	,	s	,	g
bridge_149	,	VSS!	,	DUT.I10.net039	,	DUT.I10.I164.I140.M128	,	nreg	,	s	,	g
bridge_150	,	VSS!	,	DUT.I10.net039	,	DUT.I10.I164.I140.M120	,	nreg	,	s	,	g
bridge_151	,	VSS!	,	DUT.I10.net039	,	DUT.I10.I164.I138.M132	,	nreg	,	s	,	g
bridge_152	,	VSS!	,	DUT.I10.net039	,	DUT.I10.I164.I138.M128	,	nreg	,	s	,	g
bridge_153	,	VSS!	,	DUT.I10.net039	,	DUT.I10.I164.I138.M120	,	nreg	,	s	,	g
bridge_154	,	VSS!	,	DUT.I10.net015	,	DUT.I10.I164.I0.ntrans20	,	nreg	,	s	,	g
bridge_155	,	VSS!	,	DUT.I10.net015	,	DUT.I10.I164.I139.M54	,	nreg	,	s	,	d
bridge_156	,	VSS!	,	DUT.I10.net015	,	DUT.I10.I163.I146.ntrans11	,	nreg	,	s	,	g
bridge_157	,	VSS!	,	DUT.I10.net015	,	DUT.I10.I163.I140.M132	,	nreg	,	s	,	g
bridge_158	,	VSS!	,	DUT.I10.net015	,	DUT.I10.I163.I140.M128	,	nreg	,	s	,	g
bridge_159	,	VSS!	,	DUT.I10.net015	,	DUT.I10.I163.I140.M120	,	nreg	,	s	,	g
bridge_160	,	VSS!	,	DUT.I10.net015	,	DUT.I10.I163.I138.M132	,	nreg	,	s	,	g
bridge_161	,	VSS!	,	DUT.I10.net015	,	DUT.I10.I163.I138.M128	,	nreg	,	s	,	g
bridge_162	,	VSS!	,	DUT.I10.net015	,	DUT.I10.I163.I138.M120	,	nreg	,	s	,	g
bridge_163	,	VSS!	,	DUT.I10.net31	,	DUT.I10.I164.I153.ntrans20	,	nreg	,	s	,	g
bridge_164	,	VSS!	,	DUT.I10.net31	,	DUT.I10.I164.I140.M54	,	nreg	,	s	,	d
bridge_165	,	VSS!	,	DUT.I10.net25	,	DUT.I10.I163.I0.ntrans20	,	nreg	,	s	,	g
bridge_166	,	VSS!	,	DUT.I10.net25	,	DUT.I10.I163.I139.M54	,	nreg	,	s	,	d
bridge_167	,	VSS!	,	DUT.I10.net25	,	DUT.I10.I162.I146.ntrans11	,	nreg	,	s	,	g
bridge_168	,	VSS!	,	DUT.I10.net25	,	DUT.I10.I162.I140.M132	,	nreg	,	s	,	g
bridge_169	,	VSS!	,	DUT.I10.net25	,	DUT.I10.I162.I140.M128	,	nreg	,	s	,	g
bridge_170	,	VSS!	,	DUT.I10.net25	,	DUT.I10.I162.I140.M120	,	nreg	,	s	,	g
bridge_171	,	VSS!	,	DUT.I10.net25	,	DUT.I10.I162.I138.M132	,	nreg	,	s	,	g
bridge_172	,	VSS!	,	DUT.I10.net25	,	DUT.I10.I162.I138.M128	,	nreg	,	s	,	g
bridge_173	,	VSS!	,	DUT.I10.net25	,	DUT.I10.I162.I138.M120	,	nreg	,	s	,	g
bridge_174	,	VSS!	,	DUT.I10.net010	,	DUT.I10.I171.ntrans25	,	nreg	,	s	,	d
bridge_175	,	VSS!	,	DUT.I10.net021	,	DUT.I10.I162.I0.ntrans20	,	nreg	,	s	,	g
bridge_176	,	VSS!	,	DUT.I10.net021	,	DUT.I10.I162.I139.M54	,	nreg	,	s	,	d
bridge_177	,	VSS!	,	DUT.I10.net021	,	DUT.I10.I170.I146.ntrans11	,	nreg	,	s	,	g
bridge_178	,	VSS!	,	DUT.I10.net021	,	DUT.I10.I170.I140.M132	,	nreg	,	s	,	g
bridge_179	,	VSS!	,	DUT.I10.net021	,	DUT.I10.I170.I140.M128	,	nreg	,	s	,	g
bridge_180	,	VSS!	,	DUT.I10.net021	,	DUT.I10.I170.I140.M120	,	nreg	,	s	,	g
bridge_181	,	VSS!	,	DUT.I10.net021	,	DUT.I10.I170.I138.M132	,	nreg	,	s	,	g
bridge_182	,	VSS!	,	DUT.I10.net021	,	DUT.I10.I170.I138.M128	,	nreg	,	s	,	g
bridge_183	,	VSS!	,	DUT.I10.net021	,	DUT.I10.I170.I138.M120	,	nreg	,	s	,	g
bridge_184	,	VSS!	,	DUT.I10.net014	,	DUT.I10.I24.ntrans25	,	nreg	,	s	,	d
bridge_185	,	VSS!	,	DUT.I10.net26	,	DUT.I10.I162.I153.ntrans20	,	nreg	,	s	,	g
bridge_186	,	VSS!	,	DUT.I10.net26	,	DUT.I10.I162.I140.M54	,	nreg	,	s	,	d
bridge_187	,	VSS!	,	DUT.I10.net26	,	DUT.I10.I171.ntrans26	,	nreg	,	s	,	g
bridge_188	,	VSS!	,	DUT.I10.net22	,	DUT.I10.I170.I0.ntrans20	,	nreg	,	s	,	g
bridge_189	,	VSS!	,	DUT.I10.net22	,	DUT.I10.I170.I139.M54	,	nreg	,	s	,	d
bridge_190	,	VSS!	,	DUT.I10.net24	,	DUT.I10.I170.I153.ntrans20	,	nreg	,	s	,	g
bridge_191	,	VSS!	,	DUT.I10.net24	,	DUT.I10.I170.I140.M54	,	nreg	,	s	,	d
bridge_192	,	VSS!	,	DUT.I10.net24	,	DUT.I10.I24.ntrans26	,	nreg	,	s	,	g
bridge_193	,	VSS!	,	DUT.I10.net030	,	DUT.I10.I22.ntrans25	,	nreg	,	s	,	d
bridge_194	,	VSS!	,	DUT.I10.net030	,	DUT.I10.I21.ntrans11	,	nreg	,	s	,	g
bridge_195	,	VSS!	,	DUT.I10.net011	,	DUT.I10.I171.ntrans27	,	nreg	,	s	,	g
bridge_196	,	VSS!	,	DUT.I10.net011	,	DUT.I10.I21.ntrans11	,	nreg	,	s	,	d
bridge_197	,	VSS!	,	DUT.I10.net043	,	DUT.I10.I24.ntrans27	,	nreg	,	s	,	g
bridge_198	,	VSS!	,	DUT.I10.net043	,	DUT.I10.I23.ntrans11	,	nreg	,	s	,	d
bridge_199	,	VSS!	,	DUT.I10.I18.net39	,	DUT.I10.I18.ntrans22	,	nreg	,	s	,	g
bridge_200	,	VSS!	,	DUT.I10.I18.net32	,	DUT.I10.I18.ntrans20	,	nreg	,	s	,	d
bridge_201	,	VSS!	,	DUT.I10.I17.net39	,	DUT.I10.I17.ntrans22	,	nreg	,	s	,	g
bridge_202	,	VSS!	,	DUT.I10.I17.net32	,	DUT.I10.I17.ntrans20	,	nreg	,	s	,	d
bridge_203	,	VSS!	,	DUT.I10.I164.net9	,	DUT.I10.I164.I146.ntrans11	,	nreg	,	s	,	d
bridge_204	,	VSS!	,	DUT.I10.I164.net9	,	DUT.I10.I164.I141.M132	,	nreg	,	s	,	g
bridge_205	,	VSS!	,	DUT.I10.I164.net9	,	DUT.I10.I164.I141.M128	,	nreg	,	s	,	g
bridge_206	,	VSS!	,	DUT.I10.I164.net9	,	DUT.I10.I164.I141.M120	,	nreg	,	s	,	g
bridge_207	,	VSS!	,	DUT.I10.I164.net9	,	DUT.I10.I164.I139.M132	,	nreg	,	s	,	g
bridge_208	,	VSS!	,	DUT.I10.I164.net9	,	DUT.I10.I164.I139.M128	,	nreg	,	s	,	g
bridge_209	,	VSS!	,	DUT.I10.I164.net9	,	DUT.I10.I164.I139.M120	,	nreg	,	s	,	g
bridge_210	,	VSS!	,	DUT.I10.I164.net20	,	DUT.I10.I164.I0.ntrans22	,	nreg	,	s	,	d
bridge_211	,	VSS!	,	DUT.I10.I164.net20	,	DUT.I10.I164.I140.M45	,	nreg	,	s	,	g
bridge_212	,	VSS!	,	DUT.I10.I164.net010	,	DUT.I10.I164.I139.M54	,	nreg	,	s	,	g
bridge_213	,	VSS!	,	DUT.I10.I164.net13	,	DUT.I10.I164.I160.ntrans20	,	nreg	,	s	,	g
bridge_214	,	VSS!	,	DUT.I10.I164.net13	,	DUT.I10.I164.I141.M54	,	nreg	,	s	,	g
bridge_215	,	VSS!	,	DUT.I10.I164.net18	,	DUT.I10.I164.I160.ntrans22	,	nreg	,	s	,	d
bridge_216	,	VSS!	,	DUT.I10.I164.net18	,	DUT.I10.I164.I138.M45	,	nreg	,	s	,	g
bridge_217	,	VSS!	,	DUT.I10.I164.net19	,	DUT.I10.I164.I153.ntrans22	,	nreg	,	s	,	d
bridge_218	,	VSS!	,	DUT.I10.I164.net19	,	DUT.I10.I164.I141.M45	,	nreg	,	s	,	g
bridge_219	,	VSS!	,	DUT.I10.I164.net22	,	DUT.I10.I164.I141.M54	,	nreg	,	s	,	d
bridge_220	,	VSS!	,	DUT.I10.I164.net23	,	DUT.I10.I164.I140.M54	,	nreg	,	s	,	g
bridge_221	,	VSS!	,	DUT.I10.I164.net14	,	DUT.I10.I164.I139.M45	,	nreg	,	s	,	g
bridge_222	,	VSS!	,	DUT.I10.I164.net14	,	DUT.I10.I164.I138.M54	,	nreg	,	s	,	d
bridge_223	,	VSS!	,	DUT.I10.I164.net24	,	DUT.I10.I164.I138.M54	,	nreg	,	s	,	g
bridge_224	,	VSS!	,	DUT.I10.I164.I0.net39	,	DUT.I10.I164.I0.ntrans22	,	nreg	,	s	,	g
bridge_225	,	VSS!	,	DUT.I10.I164.I0.net32	,	DUT.I10.I164.I0.ntrans20	,	nreg	,	s	,	d
bridge_226	,	VSS!	,	DUT.I10.I164.I160.net39	,	DUT.I10.I164.I160.ntrans22	,	nreg	,	s	,	g
bridge_227	,	VSS!	,	DUT.I10.I164.I160.net32	,	DUT.I10.I164.I160.ntrans20	,	nreg	,	s	,	d
bridge_228	,	VSS!	,	DUT.I10.I164.I153.net39	,	DUT.I10.I164.I153.ntrans22	,	nreg	,	s	,	g
bridge_229	,	VSS!	,	DUT.I10.I164.I153.net32	,	DUT.I10.I164.I153.ntrans20	,	nreg	,	s	,	d
bridge_230	,	VSS!	,	DUT.I10.I164.I141.net52	,	DUT.I10.I164.I141.M121	,	nreg	,	s	,	d
bridge_231	,	VSS!	,	DUT.I10.I164.I141.b	,	DUT.I10.I164.I141.M121	,	nreg	,	s	,	g
bridge_232	,	VSS!	,	DUT.I10.I164.I141.b	,	DUT.I10.I164.I141.M51	,	nreg	,	s	,	g
bridge_233	,	VSS!	,	DUT.I10.I164.I141.net47	,	DUT.I10.I164.I141.M132	,	nreg	,	s	,	d
bridge_234	,	VSS!	,	DUT.I10.I164.I141.a	,	DUT.I10.I164.I141.M45	,	nreg	,	s	,	d
bridge_235	,	VSS!	,	DUT.I10.I164.I141.net49	,	DUT.I10.I164.I141.M128	,	nreg	,	s	,	d
bridge_236	,	VSS!	,	DUT.I10.I164.I141.net38	,	DUT.I10.I164.I141.M120	,	nreg	,	s	,	d
bridge_237	,	VSS!	,	DUT.I10.I164.I141.net36	,	DUT.I10.I164.I141.M51	,	nreg	,	s	,	d
bridge_238	,	VSS!	,	DUT.I10.I164.I140.net52	,	DUT.I10.I164.I140.M121	,	nreg	,	s	,	d
