* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A)  NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which Infineon disclaims to the maximum extent permitted by applicable law; and
* (B)  NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* LIMITATION OF LIABILITY:  IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR 
Defect_short_72,VSS!,VDDa_pulsed,I83.I7.I92.INSTANCE1.Q1,latpnp,e,c
Defect_short_73,VSS!,VDDa_pulsed,I83.I7.I106.INSTANCE1.Q1,latpnp,e,c
Defect_short_74,VSS!,VDDa_pulsed,I83.I7.I107.INSTANCE1.Q1,latpnp,e,c
Defect_short_75,VSS!,VDDa_pulsed,I83.I7.I31.INSTANCE1.Q1,latpnp,e,c
Defect_short_76,VSS!,VDDa_pulsed,I83.I7.I17.INSTANCE1.Q1,latpnp,e,c
Defect_short_77,VSS!,VDDa_pulsed,I83.I7.I18.INSTANCE1.Q1,latpnp,e,c
Defect_short_78,VSS!,VDDa_pulsed,I83.I7.I30.INSTANCE1.Q1,latpnp,e,c
Defect_short_79,VSS!,VDDa_pulsed,I83.I7.I23.INSTANCE1.Q1,latpnp,e,c
Defect_short_80,VSS!,VDDa_pulsed,I83.I7.I33.INSTANCE1.Q1,latpnp,e,c
Defect_short_81,VSS!,VDDa_pulsed,I83.I7.I27.INSTANCE1.Q1,latpnp,e,c
Defect_short_82,VSS!,VDDa_pulsed,I83.I7.I24.INSTANCE1.Q1,latpnp,e,c
Defect_short_83,VSS!,VDDa_pulsed,I83.I7.I94.INSTANCE1.Q1,latpnp,e,c
Defect_short_84,VSS!,I83.net16,I83.I68.I8.ntrans36,nana,s,g
Defect_short_85,VSS!,I83.enable,I83.I137.ntrans20,nana,s,g
Defect_short_86,VSS!,I83.enable,I83.I136.ntrans20,nana,s,g
Defect_short_87,VSS!,I83.enable,I83.I6.ntrans11,nana,s,d
Defect_short_88,VSS!,I83.enable,I83.I7.I92.ntrans11,nana,s,g
Defect_short_89,VSS!,I83.enable,I83.I7.I94.ntrans13,nana,s,g
Defect_short_90,VSS!,I83.net023,I83.I137.ntrans22,nana,s,d
Defect_short_91,VSS!,I83.net023,I83.I49.ntrans11,nana,s,g
Defect_short_92,VSS!,I83.net023,I83.I47.ntrans11,nana,s,g
Defect_short_93,VSS!,I83.net11,I83.I68.I7.ntrans36,nana,s,g
Defect_short_94,VSS!,I83.net028,I83.I136.ntrans22,nana,s,d
Defect_short_95,VSS!,I83.net028,I83.I38.ntrans11,nana,s,g
Defect_short_96,VSS!,I83.net028,I83.I37.ntrans11,nana,s,g
Defect_short_97,VSS!,I83.net060,I83.I11.I5.ntrans11,nana,s,d
Defect_short_98,VSS!,I83.net060,I83.I64.ntrans11,nana,s,g
Defect_short_99,VSS!,I83.net059,I83.I69.I5.ntrans11,nana,s,d
Defect_short_100,VSS!,I83.net059,I83.I65.ntrans11,nana,s,g
Defect_short_101,VSS!,I83.vth_l,I83.R11,resistor,2,1
Defect_short_102,VSS!,I83.err,I83.I62.ntrans25,nana,s,d
Defect_short_103,VSS!,I83.err,I83.I5.ntrans26,nana,s,g
Defect_short_104,VSS!,I83.disable,I83.I5.ntrans25,nana,s,d
Defect_short_105,VSS!,I83.disable,I83.I6.ntrans11,nana,s,g
Defect_short_106,VSS!,I83.disable,I83.I8.I92.ntrans11,nana,s,g
Defect_short_107,VSS!,I83.disable,I83.I9.I64.ntrans11,nana,s,g
Defect_short_108,VSS!,I83.disable,I83.I9.M6,nana,s,g
Defect_short_109,VSS!,I83.disable,I83.M35,nana,s,g
Defect_short_110,VSS!,I83.net062,I83.I41.ntrans13,nana,s,g
Defect_short_111,VSS!,I83.net062,I83.I40.ntrans11,nana,s,g
Defect_short_112,VSS!,I83.net14,I83.I41.ntrans12,nana,s,d
Defect_short_113,VSS!,I83.net14,I83.I68.I4.ntrans36,nana,s,g
Defect_short_114,VSS!,I83.net14,I83.I68.I3.ntrans36,nana,s,g
Defect_short_115,VSS!,I83.net14,I83.I68.I105.ntrans36,nana,s,g
Defect_short_116,VSS!,I83.net072,I83.I35.ntrans11,nana,s,g
Defect_short_117,VSS!,I83.net072,I83.I48.ntrans11,nana,s,d
Defect_short_118,VSS!,I83.net072,I83.I33.ntrans11,nana,s,g
Defect_short_119,VSS!,I83.net072,I83.I31.ntrans11,nana,s,d
Defect_short_120,VSS!,I83.S0_n,I83.I35.ntrans11,nana,s,d
Defect_short_121,VSS!,I83.S0_n,I83.I30.ntrans11,nana,s,d
Defect_short_122,VSS!,I83.S0_n,I83.I27.ntrans11,nana,s,g
Defect_short_123,VSS!,I83.net031,I83.I34.ntrans11,nana,s,g
Defect_short_124,VSS!,I83.net031,I83.I33.ntrans11,nana,s,d
Defect_short_125,VSS!,I83.net031,I83.I31.ntrans11,nana,s,g
Defect_short_126,VSS!,I83.net031,I83.I57.ptrans10,pana,g,s
Defect_short_127,VSS!,I83.S0,I83.I34.ntrans11,nana,s,d
Defect_short_128,VSS!,I83.S0,I83.I30.ntrans11,nana,s,g
Defect_short_129,VSS!,I83.S0,I83.I27.ntrans11,nana,s,d
Defect_short_130,VSS!,I83.net033,I83.I20.ntrans11,nana,s,g
Defect_short_131,VSS!,I83.net033,I83.I17.ntrans11,nana,s,g
Defect_short_132,VSS!,I83.net033,I83.I18.ntrans11,nana,s,d
Defect_short_133,VSS!,I83.net033,I83.I56.ptrans10,pana,g,s
Defect_short_134,VSS!,I83.S1,I83.I20.ntrans11,nana,s,d
Defect_short_135,VSS!,I83.S1,I83.I23.ntrans11,nana,s,g
Defect_short_136,VSS!,I83.S1,I83.I24.ntrans11,nana,s,d
Defect_short_137,VSS!,I83.net030,I83.I19.ntrans11,nana,s,g
Defect_short_138,VSS!,I83.net030,I83.I46.ntrans11,nana,s,d
Defect_short_139,VSS!,I83.net030,I83.I17.ntrans11,nana,s,d
Defect_short_140,VSS!,I83.net030,I83.I18.ntrans11,nana,s,g
Defect_short_141,VSS!,I83.S1_n,I83.I19.ntrans11,nana,s,d
Defect_short_142,VSS!,I83.S1_n,I83.I23.ntrans11,nana,s,d
Defect_short_143,VSS!,I83.S1_n,I83.I24.ntrans11,nana,s,g
Defect_short_144,VSS!,I83.net026,I83.I38.ntrans11,nana,s,d
Defect_short_145,VSS!,I83.net026,I83.I56.ptrans10,pana,g,d
Defect_short_146,VSS!,I83.net024,I83.I49.ntrans11,nana,s,d
Defect_short_147,VSS!,I83.net024,I83.I57.ptrans10,pana,g,d
Defect_short_148,VSS!,I83.net061,I83.I37.ntrans11,nana,s,d
Defect_short_149,VSS!,I83.net061,I83.I46.ntrans11,nana,s,g
Defect_short_150,VSS!,I83.net056,I83.I47.ntrans11,nana,s,d
Defect_short_151,VSS!,I83.net056,I83.I48.ntrans11,nana,s,g
Defect_short_152,VSS!,I83.amp_out,I83.I7.M47,nana,s,d
Defect_short_153,VSS!,I83.amp_out,I83.I7.M2,pana,g,d
Defect_short_154,VSS!,I83.gate,I83.I9.M6,nana,s,d
Defect_short_155,VSS!,I83.net13,I83.I40.ntrans11,nana,s,d
Defect_short_156,VSS!,I83.net13,I83.I32.I4.ntrans36,nana,s,g
Defect_short_157,VSS!,I83.net13,I83.I32.I3.ntrans36,nana,s,g
Defect_short_158,VSS!,I83.net13,I83.I32.I105.ntrans36,nana,s,g
Defect_short_159,VSS!,I83.feedback,I83.I9.R3,resistor,2,1
Defect_short_160,VSS!,I83.net23,I83.I32.I7.ntrans36,nana,s,g
Defect_short_161,VSS!,I83.net12,I83.I32.I8.ntrans36,nana,s,g
Defect_short_162,VSS!,I83.net12,I83.I7.I143.ntrans11,nana,s,g
Defect_short_163,VSS!,I83.net12,I83.I7.I106.ntrans19,nana,s,g
Defect_short_164,VSS!,I83.vref,I83.M35,nana,s,d
Defect_short_165,VSS!,I83.I137.net39,I83.I137.ntrans22,nana,s,g
Defect_short_166,VSS!,I83.I137.net32,I83.I137.ntrans20,nana,s,d
Defect_short_167,VSS!,I83.I136.net39,I83.I136.ntrans22,nana,s,g
Defect_short_168,VSS!,I83.I136.net32,I83.I136.ntrans20,nana,s,d
Defect_short_169,VSS!,I83.I11.net011,I83.I11.I5.ntrans11,nana,s,g
Defect_short_170,VSS!,I83.I11.net011,I83.I11.M22,nana,s,d
Defect_short_171,VSS!,I83.I11.net017,I83.I11.M22,nana,s,g
Defect_short_172,VSS!,I83.I11.net017,I83.I11.M13,nana,s,d
Defect_short_173,VSS!,I83.I11.net017,I83.I11.M12,nana,s,g
Defect_short_174,VSS!,I83.I11.net017,I83.I11.M20,nana,s,d
Defect_short_175,VSS!,I83.I11.net022,I83.I11.M13,nana,s,g
Defect_short_176,VSS!,I83.I11.net022,I83.I11.M12,nana,s,d
Defect_short_177,VSS!,I83.I11.net022,I83.I11.M21,nana,s,g
Defect_short_178,VSS!,I83.I11.net022,I83.I11.M19,nana,s,d
Defect_short_179,VSS!,I83.I11.net013,I83.I11.M21,nana,s,d
Defect_short_180,VSS!,I83.I11.net11,I83.I11.R0,resistor,2,1
Defect_short_181,VSS!,I83.I69.net011,I83.I69.I5.ntrans11,nana,s,g
Defect_short_182,VSS!,I83.I69.net011,I83.I69.M22,nana,s,d
Defect_short_183,VSS!,I83.I69.net017,I83.I69.M22,nana,s,g
Defect_short_184,VSS!,I83.I69.net017,I83.I69.M13,nana,s,d
Defect_short_185,VSS!,I83.I69.net017,I83.I69.M12,nana,s,g
Defect_short_186,VSS!,I83.I69.net017,I83.I69.M20,nana,s,d
Defect_short_187,VSS!,I83.I69.net022,I83.I69.M13,nana,s,g
Defect_short_188,VSS!,I83.I69.net022,I83.I69.M12,nana,s,d
Defect_short_189,VSS!,I83.I69.net022,I83.I69.M21,nana,s,g
Defect_short_190,VSS!,I83.I69.net022,I83.I69.M19,nana,s,d
Defect_short_191,VSS!,I83.I69.net013,I83.I69.M21,nana,s,d
Defect_short_192,VSS!,I83.I69.net11,I83.I69.R0,resistor,2,1
Defect_short_193,VSS!,I83.I62.net26,I83.I62.ntrans27,nana,s,d
Defect_short_194,VSS!,I83.I62.net26,I83.I62.ntrans26,nana,s,d
Defect_short_195,VSS!,I83.I62.net26,I83.I62.ntrans25,nana,s,g
Defect_short_196,VSS!,I83.I5.net26,I83.I5.ntrans27,nana,s,d
Defect_short_197,VSS!,I83.I5.net26,I83.I5.ntrans26,nana,s,d
Defect_short_198,VSS!,I83.I5.net26,I83.I5.ntrans25,nana,s,g
Defect_short_199,VSS!,I83.I41.net24,I83.I41.ntrans13,nana,s,d
Defect_short_200,VSS!,I83.I41.net24,I83.I41.ntrans12,nana,s,g
Defect_short_201,VSS!,I83.I63.net25,I83.I63.ntrans36,nana,s,d
Defect_short_202,VSS!,I83.I8.net027,I83.I8.C1,capacitor2,1
Defect_short_203,VSS!,I83.I8.net028,I83.I8.C0,capacitor2,1
Defect_short_204,VSS!,I83.I8.net011,I83.I8.I92.ntrans11,nana,s,d
Defect_short_205,VSS!,I83.I9.net010,I83.I9.I64.ntrans11,nana,s,d
Defect_short_206,VSS!,I83.I32.net11,I83.I32.I1.ntrans36,nana,s,g
Defect_short_207,VSS!,I83.I32.net7,I83.I32.I6.ntrans36,nana,s,g
Defect_short_208,VSS!,I83.I32.net7,I83.I32.I5.ntrans36,nana,s,g
Defect_short_209,VSS!,I83.I32.net12,I83.I32.I2.ntrans36,nana,s,g
Defect_short_210,VSS!,I83.I32.I8.net25,I83.I32.I8.ntrans36,nana,s,d
Defect_short_211,VSS!,I83.I32.I7.net25,I83.I32.I7.ntrans36,nana,s,d
Defect_short_212,VSS!,I83.I32.I6.net25,I83.I32.I6.ntrans36,nana,s,d
Defect_short_213,VSS!,I83.I32.I5.net25,I83.I32.I5.ntrans36,nana,s,d
Defect_short_214,VSS!,I83.I32.I4.net25,I83.I32.I4.ntrans36,nana,s,d
Defect_short_215,VSS!,I83.I32.I3.net25,I83.I32.I3.ntrans36,nana,s,d
Defect_short_216,VSS!,I83.I32.I2.net25,I83.I32.I2.ntrans36,nana,s,d
Defect_short_217,VSS!,I83.I32.I1.net25,I83.I32.I1.ntrans36,nana,s,d
Defect_short_218,VSS!,I83.I32.I105.net25,I83.I32.I105.ntrans36,nana,s,d
Defect_short_219,VSS!,I83.I68.net11,I83.I68.I1.ntrans36,nana,s,g
Defect_short_220,VSS!,I83.I68.net7,I83.I68.I6.ntrans36,nana,s,g
Defect_short_221,VSS!,I83.I68.net7,I83.I68.I5.ntrans36,nana,s,g
Defect_short_222,VSS!,I83.I68.net12,I83.I68.I2.ntrans36,nana,s,g
Defect_short_223,VSS!,I83.I68.I8.net25,I83.I68.I8.ntrans36,nana,s,d
Defect_short_224,VSS!,I83.I68.I7.net25,I83.I68.I7.ntrans36,nana,s,d
Defect_short_225,VSS!,I83.I68.I6.net25,I83.I68.I6.ntrans36,nana,s,d
Defect_short_226,VSS!,I83.I68.I5.net25,I83.I68.I5.ntrans36,nana,s,d
Defect_short_227,VSS!,I83.I68.I4.net25,I83.I68.I4.ntrans36,nana,s,d
Defect_short_228,VSS!,I83.I68.I3.net25,I83.I68.I3.ntrans36,nana,s,d
Defect_short_229,VSS!,I83.I68.I2.net25,I83.I68.I2.ntrans36,nana,s,d
Defect_short_230,VSS!,I83.I68.I1.net25,I83.I68.I1.ntrans36,nana,s,d
Defect_short_231,VSS!,I83.I68.I105.net25,I83.I68.I105.ntrans36,nana,s,d
Defect_short_232,VSS!,I83.I7.net049,I83.I7.M43,nana,s,d
Defect_short_233,VSS!,I83.I7.S0,I83.I7.I34.ntrans11,nana,s,d
Defect_short_234,VSS!,I83.I7.S0,I83.I7.I30.ntrans11,nana,s,g
Defect_short_235,VSS!,I83.I7.S0,I83.I7.I27.ntrans11,nana,s,d
Defect_short_236,VSS!,I83.I7.S0_n,I83.I7.I35.ntrans11,nana,s,d
Defect_short_237,VSS!,I83.I7.S0_n,I83.I7.I30.ntrans11,nana,s,d
Defect_short_238,VSS!,I83.I7.S0_n,I83.I7.I27.ntrans11,nana,s,g
Defect_short_239,VSS!,I83.I7.net063,I83.I7.M44,nana,s,d
Defect_short_240,VSS!,I83.I7.S1,I83.I7.I20.ntrans11,nana,s,d
Defect_short_241,VSS!,I83.I7.S1,I83.I7.I23.ntrans11,nana,s,g
Defect_short_242,VSS!,I83.I7.S1,I83.I7.I24.ntrans11,nana,s,d
Defect_short_243,VSS!,I83.I7.S1_n,I83.I7.I19.ntrans11,nana,s,d
Defect_short_244,VSS!,I83.I7.S1_n,I83.I7.I23.ntrans11,nana,s,d
Defect_short_245,VSS!,I83.I7.S1_n,I83.I7.I24.ntrans11,nana,s,g
Defect_short_246,VSS!,I83.I7.net070,I83.I7.M2,pana,g,s
Defect_short_247,VSS!,I83.I7.enable,I83.I7.I136.ntrans20,nana,s,g
Defect_short_248,VSS!,I83.I7.enable,I83.I7.I137.ntrans20,nana,s,g
Defect_short_249,VSS!,I83.I7.enable,I83.I7.I94.ntrans12,nana,s,d
Defect_short_250,VSS!,I83.I7.disable,I83.I7.I92.ntrans11,nana,s,d
Defect_short_251,VSS!,I83.I7.disable,I83.I7.M47,nana,s,g
Defect_short_252,VSS!,I83.I7.disable,I83.I7.M46,nana,s,g
Defect_short_253,VSS!,I83.I7.disable,I83.I7.M45,nana,s,g
Defect_short_254,VSS!,I83.I7.disable,I83.I7.M44,nana,s,g
Defect_short_255,VSS!,I83.I7.disable,I83.I7.M43,nana,s,g
Defect_short_256,VSS!,I83.I7.disable,I83.I7.M38,nana,s,g
Defect_short_257,VSS!,I83.I7.disable,I83.I7.M49,nana,s,g
Defect_short_258,VSS!,I83.I7.disable,I83.I7.M48,nana,s,g
Defect_short_259,VSS!,I83.I7.net021,I83.I7.M46,nana,s,d
Defect_short_260,VSS!,I83.I7.net021,I83.I7.M33,nana,s,d
Defect_short_261,VSS!,I83.I7.vb_n,I83.I7.N13,nana,s,d
Defect_short_262,VSS!,I83.I7.vb_n,I83.I7.M33,nana,s,g
Defect_short_263,VSS!,I83.I7.vb_n,I83.I7.M38,nana,s,d
Defect_short_264,VSS!,I83.I7.vb_n,I83.I7.M50,nana,s,g
Defect_short_265,VSS!,I83.I7.net011,I83.I7.M45,nana,s,d
Defect_short_266,VSS!,I83.I7.net060,I83.I7.M49,nana,s,d
Defect_short_267,VSS!,I83.I7.net033,I83.I7.M50,nana,s,d
Defect_short_268,VSS!,I83.I7.net033,I83.I7.M48,nana,s,d
Defect_short_269,VSS!,I83.I7.net059,I83.I7.I118.ntrans13,nana,s,g
Defect_short_270,VSS!,I83.I7.net059,I83.I7.I106.ntrans19,nana,s,d
Defect_short_271,VSS!,I83.I7.net059,I83.I7.I106.ntrans18,nana,s,d
Defect_short_272,VSS!,I83.I7.net014,I83.I7.I118.N10,nana,s,d
Defect_short_273,VSS!,I83.I7.net014,I83.I7.I107.ntrans19,nana,s,g
Defect_short_274,VSS!,I83.I7.net057,I83.I7.I119.ntrans13,nana,s,g
Defect_short_275,VSS!,I83.I7.net057,I83.I7.I107.ntrans19,nana,s,d
Defect_short_276,VSS!,I83.I7.net057,I83.I7.I107.ntrans18,nana,s,d
Defect_short_277,VSS!,I83.I7.net044,I83.I7.I119.N10,nana,s,d
Defect_short_278,VSS!,I83.I7.net044,I83.I7.I106.ntrans18,nana,s,g
Defect_short_279,VSS!,I83.I7.net068,I83.I7.I136.ntrans22,nana,s,d
Defect_short_280,VSS!,I83.I7.net068,I83.I7.I38.ntrans11,nana,s,g
Defect_short_281,VSS!,I83.I7.net068,I83.I7.I37.ntrans11,nana,s,g
Defect_short_282,VSS!,I83.I7.net0105,I83.I7.I137.ntrans22,nana,s,d
Defect_short_283,VSS!,I83.I7.net0105,I83.I7.I47.ntrans11,nana,s,g
Defect_short_284,VSS!,I83.I7.net0105,I83.I7.I49.ntrans11,nana,s,g
Defect_short_285,VSS!,I83.I7.net018,I83.I7.I34.ntrans11,nana,s,g
Defect_short_286,VSS!,I83.I7.net018,I83.I7.I31.ntrans11,nana,s,g
Defect_short_287,VSS!,I83.I7.net018,I83.I7.I33.ntrans11,nana,s,d
Defect_short_288,VSS!,I83.I7.net018,I83.I7.I146.ptrans10,pana,g,s
Defect_short_289,VSS!,I83.I7.net0123,I83.I7.I38.ntrans11,nana,s,d
Defect_short_290,VSS!,I83.I7.net0123,I83.I7.I56.ptrans10,pana,g,d
Defect_short_291,VSS!,I83.I7.net0110,I83.I7.I46.ntrans11,nana,s,g
Defect_short_292,VSS!,I83.I7.net0110,I83.I7.I37.ntrans11,nana,s,d
Defect_short_293,VSS!,I83.I7.net024,I83.I7.I46.ntrans11,nana,s,d
Defect_short_294,VSS!,I83.I7.net024,I83.I7.I19.ntrans11,nana,s,g
Defect_short_295,VSS!,I83.I7.net024,I83.I7.I17.ntrans11,nana,s,d
Defect_short_296,VSS!,I83.I7.net024,I83.I7.I18.ntrans11,nana,s,g
Defect_short_297,VSS!,I83.I7.net0111,I83.I7.I47.ntrans11,nana,s,d
Defect_short_298,VSS!,I83.I7.net0111,I83.I7.I48.ntrans11,nana,s,g
Defect_short_299,VSS!,I83.I7.net022,I83.I7.I20.ntrans11,nana,s,g
Defect_short_300,VSS!,I83.I7.net022,I83.I7.I17.ntrans11,nana,s,g
Defect_short_301,VSS!,I83.I7.net022,I83.I7.I18.ntrans11,nana,s,d
Defect_short_302,VSS!,I83.I7.net022,I83.I7.I56.ptrans10,pana,g,s
